id_equipamento,idade_anos,horas_uso_continuo,rpm_medio,temperatura_celsius,houve_quebra
1,6,11,1692.5288099144664,92.48825565518204,0
2,4,10,1800.0358374589139,90.76025167781923,0
3,4,18,1818.5370064197334,98.63385429567863,0
4,12,4,1568.6396092791867,83.81560535222162,0
5,9,1,2102.5754539494715,81.37153461857791,0
6,8,1,1057.772782248931,79.18963076045623,0
7,1,2,1564.2894289775593,78.17853767418617,0
8,11,9,1662.4827142563931,91.71282508662573,0
9,13,11,2144.186470857979,95.96601377136992,1
10,13,8,1072.3377246371965,83.2383419893601,0
11,7,10,1519.4008629146063,92.21022454300794,0
12,8,18,1933.6693428114481,94.47094220358761,0
13,9,15,1997.418677385263,94.29559091638937,0
14,13,4,1555.7938254112046,89.2882717716094,0
15,13,4,1016.9832374519789,77.18203542697253,0
16,4,2,1748.8036511968137,82.95355686222592,0
17,8,7,966.452146366377,83.65100554042657,0
18,7,13,1291.8743749631358,88.32159138007847,0
19,6,8,1726.3500232570204,88.93009171329193,0
20,13,11,1392.358373069708,86.19978880941827,0
21,11,18,1635.0275185894434,100.02916074614463,1
22,3,16,1753.9323886684372,94.31625644581285,0
23,4,12,1802.8673858473603,92.7699650048918,0
24,11,3,1767.6569504802997,89.62569554280253,0
25,12,11,1308.7048469223967,91.49750022219271,0
26,1,6,1691.4725308168152,88.80880479908937,0
27,6,8,1570.4571427322435,83.58693599958146,0
28,3,6,1525.677786803483,85.13986547350665,0
29,4,15,1989.3921533228468,103.26778816224245,0
30,13,2,1186.3268142376592,74.23583597032773,0
31,2,4,1394.3526262166474,86.15805528976928,0
32,9,4,1678.4287276295722,83.00098927326324,0
33,14,18,1396.041317890437,93.19922872643514,0
34,1,8,1434.6999521580474,82.06048837276899,0
35,12,8,1929.4236673058754,84.86206992011178,0
36,10,15,1549.4694133974374,96.92360942332023,1
37,7,18,1641.2184825454913,93.62744872455707,0
38,14,6,1442.8205540767424,86.94060145898365,0
39,14,7,1659.0928799336489,86.74961837460313,0
40,8,8,2095.982983691575,88.29020327571948,0
41,13,9,1720.9533911564492,88.12269773668321,0
42,4,9,1667.7405384244375,93.58709174890275,0
43,9,16,1232.89249330234,93.22444865084113,0
44,9,3,1986.0550959992147,83.40172168935432,0
